batch_id,template_id,position,transcript_id,model_id,game,experiment,instance,domain
CODE-11,CODE-11,1,dair2b__codenames__association_easy__instance_00004,dair2b,codenames,association_easy,instance_00004,clem_indomain
CODE-11,CODE-11,2,qwen27b__codenames__abstract__instance_00003,qwen27b,codenames,abstract,instance_00003,clem_indomain
CODE-11,CODE-11,3,qwen27b__codenames__unambiguous__instance_00004,qwen27b,codenames,unambiguous,instance_00004,clem_indomain
CODE-12,CODE-12,1,cityuol2b__codenames__concrete__instance_00007,cityuol2b,codenames,concrete,instance_00007,clem_indomain
CODE-12,CODE-12,2,llp9b__codenames__abstract__instance_00003,llp9b,codenames,abstract,instance_00003,clem_indomain
CODE-12,CODE-12,3,llp9b__codenames__frequency_high__instance_00009,llp9b,codenames,frequency_high,instance_00009,clem_indomain
CODE-13,CODE-13,1,cityuol2b__codenames__frequency_high__instance_00009,cityuol2b,codenames,frequency_high,instance_00009,clem_indomain
CODE-13,CODE-13,2,dair2b__codenames__abstract__instance_00003,dair2b,codenames,abstract,instance_00003,clem_indomain
CODE-13,CODE-13,3,qwen27b__codenames__ambiguous__instance_00001,qwen27b,codenames,ambiguous,instance_00001,clem_indomain
CODE-14,CODE-14,1,cityuol2b__codenames__association_easy__instance_00004,cityuol2b,codenames,association_easy,instance_00004,clem_indomain
CODE-14,CODE-14,2,cityuol2b__codenames__opponent_difficult__instance_00008,cityuol2b,codenames,opponent_difficult,instance_00008,clem_indomain
CODE-14,CODE-14,3,cityuol2b__codenames__opponent_none__instance_00002,cityuol2b,codenames,opponent_none,instance_00002,clem_indomain
CODE-14,CODE-14,4,qwen27b__codenames__frequency_low__instance_00005,qwen27b,codenames,frequency_low,instance_00005,clem_indomain
CODE-15,CODE-15,1,cityuol2b__codenames__unambiguous__instance_00004,cityuol2b,codenames,unambiguous,instance_00004,clem_indomain
CODE-15,CODE-15,2,dair2b__codenames__opponent_difficult__instance_00008,dair2b,codenames,opponent_difficult,instance_00008,clem_indomain
CODE-15,CODE-15,3,qwen27b__codenames__risk_low__instance_00001,qwen27b,codenames,risk_low,instance_00001,clem_indomain
CODE-16,CODE-16,1,cityuol2b__codenames__abstract__instance_00003,cityuol2b,codenames,abstract,instance_00003,clem_indomain
CODE-16,CODE-16,2,dair2b__codenames__risk_high__instance_00005,dair2b,codenames,risk_high,instance_00005,clem_indomain
CODE-16,CODE-16,3,llp9b__codenames__concrete__instance_00007,llp9b,codenames,concrete,instance_00007,clem_indomain
CODE-17,CODE-17,1,cityuol2b__codenames__ambiguous__instance_00001,cityuol2b,codenames,ambiguous,instance_00001,clem_indomain
CODE-17,CODE-17,2,dair2b__codenames__risk_low__instance_00001,dair2b,codenames,risk_low,instance_00001,clem_indomain
CODE-17,CODE-17,3,llp9b__codenames__frequency_low__instance_00005,llp9b,codenames,frequency_low,instance_00005,clem_indomain
DOND-01,DOND-01,1,cityuol2b__dond__coop_en__instance_00017,cityuol2b,dond,coop_en,instance_00017,clem_indomain
DOND-01,DOND-01,2,llp9b__dond__semi_en__instance_00018,llp9b,dond,semi_en,instance_00018,clem_indomain
DOND-01,DOND-01,3,qwen27b__dond__coop_en__instance_00004,qwen27b,dond,coop_en,instance_00004,clem_indomain
DOND-01,DOND-01,4,qwen27b__dond__semi_en__instance_00002,qwen27b,dond,semi_en,instance_00002,clem_indomain
DOND-02,DOND-02,1,cityuol2b__dond__semi_en__instance_00000,cityuol2b,dond,semi_en,instance_00000,clem_indomain
DOND-02,DOND-02,2,qwen27b__dond__coop_en__instance_00007,qwen27b,dond,coop_en,instance_00007,clem_indomain
DOND-02,DOND-02,3,qwen27b__dond__semi_en__instance_00008,qwen27b,dond,semi_en,instance_00008,clem_indomain
DOND-03,DOND-03,1,cityuol2b__dond__semi_en__instance_00011,cityuol2b,dond,semi_en,instance_00011,clem_indomain
DOND-03,DOND-03,2,cityuol2b__dond__semi_en__instance_00018,cityuol2b,dond,semi_en,instance_00018,clem_indomain
DOND-03,DOND-03,3,llp9b__dond__coop_en__instance_00007,llp9b,dond,coop_en,instance_00007,clem_indomain
DOND-03,DOND-03,4,qwen27b__dond__coop_en__instance_00003,qwen27b,dond,coop_en,instance_00003,clem_indomain
DOND-04,DOND-04,1,cityuol2b__dond__semi_en__instance_00002,cityuol2b,dond,semi_en,instance_00002,clem_indomain
DOND-04,DOND-04,2,dair2b__dond__semi_en__instance_00018,dair2b,dond,semi_en,instance_00018,clem_indomain
DOND-04,DOND-04,3,llp9b__dond__coop_en__instance_00003,llp9b,dond,coop_en,instance_00003,clem_indomain
DOND-04,DOND-04,4,llp9b__dond__coop_en__instance_00006,llp9b,dond,coop_en,instance_00006,clem_indomain
DOND-05,DOND-05,1,cityuol2b__dond__coop_en__instance_00007,cityuol2b,dond,coop_en,instance_00007,clem_indomain
DOND-05,DOND-05,2,dair2b__dond__coop_en__instance_00006,dair2b,dond,coop_en,instance_00006,clem_indomain
DOND-05,DOND-05,3,dair2b__dond__semi_en__instance_00010,dair2b,dond,semi_en,instance_00010,clem_indomain
DOND-05,DOND-05,4,qwen27b__dond__coop_en__instance_00011,qwen27b,dond,coop_en,instance_00011,clem_indomain
DOND-06,DOND-06,1,cityuol2b__dond__semi_en__instance_00008,cityuol2b,dond,semi_en,instance_00008,clem_indomain
DOND-06,DOND-06,2,dair2b__dond__coop_en__instance_00008,dair2b,dond,coop_en,instance_00008,clem_indomain
DOND-06,DOND-06,3,dair2b__dond__semi_en__instance_00011,dair2b,dond,semi_en,instance_00011,clem_indomain
DOND-06,DOND-06,4,qwen27b__dond__coop_en__instance_00017,qwen27b,dond,coop_en,instance_00017,clem_indomain
DOND-07,DOND-07,1,cityuol2b__dond__coop_en__instance_00008,cityuol2b,dond,coop_en,instance_00008,clem_indomain
DOND-07,DOND-07,2,dair2b__dond__semi_en__instance_00000,dair2b,dond,semi_en,instance_00000,clem_indomain
DOND-07,DOND-07,3,qwen27b__dond__semi_en__instance_00010,qwen27b,dond,semi_en,instance_00010,clem_indomain
DOND-07,DOND-07,4,qwen27b__dond__semi_en__instance_00011,qwen27b,dond,semi_en,instance_00011,clem_indomain
DOND-08,DOND-08,1,cityuol2b__dond__coop_en__instance_00003,cityuol2b,dond,coop_en,instance_00003,clem_indomain
DOND-08,DOND-08,2,cityuol2b__dond__coop_en__instance_00011,cityuol2b,dond,coop_en,instance_00011,clem_indomain
DOND-08,DOND-08,3,dair2b__dond__semi_en__instance_00002,dair2b,dond,semi_en,instance_00002,clem_indomain
DOND-08,DOND-08,4,llp9b__dond__coop_en__instance_00004,llp9b,dond,coop_en,instance_00004,clem_indomain
DOND-08,DOND-08,5,qwen27b__dond__semi_en__instance_00018,qwen27b,dond,semi_en,instance_00018,clem_indomain
DOND-09,DOND-09,1,cityuol2b__dond__coop_en__instance_00004,cityuol2b,dond,coop_en,instance_00004,clem_indomain
DOND-09,DOND-09,2,dair2b__dond__coop_en__instance_00007,dair2b,dond,coop_en,instance_00007,clem_indomain
DOND-09,DOND-09,3,dair2b__dond__semi_en__instance_00008,dair2b,dond,semi_en,instance_00008,clem_indomain
DOND-09,DOND-09,4,llp9b__dond__coop_en__instance_00008,llp9b,dond,coop_en,instance_00008,clem_indomain
DOND-09,DOND-09,5,llp9b__dond__coop_en__instance_00011,llp9b,dond,coop_en,instance_00011,clem_indomain
DOND-10,DOND-10,1,cityuol2b__dond__coop_en__instance_00006,cityuol2b,dond,coop_en,instance_00006,clem_indomain
DOND-10,DOND-10,2,dair2b__dond__coop_en__instance_00004,dair2b,dond,coop_en,instance_00004,clem_indomain
DOND-10,DOND-10,3,llp9b__dond__coop_en__instance_00017,llp9b,dond,coop_en,instance_00017,clem_indomain
DOND-10,DOND-10,4,llp9b__dond__semi_en__instance_00002,llp9b,dond,semi_en,instance_00002,clem_indomain
DOND-10,DOND-10,5,qwen27b__dond__coop_en__instance_00008,qwen27b,dond,coop_en,instance_00008,clem_indomain
DOND-11,DOND-11,1,cityuol2b__dond__semi_en__instance_00010,cityuol2b,dond,semi_en,instance_00010,clem_indomain
DOND-11,DOND-11,2,dair2b__dond__coop_en__instance_00011,dair2b,dond,coop_en,instance_00011,clem_indomain
DOND-11,DOND-11,3,llp9b__dond__semi_en__instance_00000,llp9b,dond,semi_en,instance_00000,clem_indomain
DOND-11,DOND-11,4,llp9b__dond__semi_en__instance_00008,llp9b,dond,semi_en,instance_00008,clem_indomain
DOND-11,DOND-11,5,qwen27b__dond__coop_en__instance_00006,qwen27b,dond,coop_en,instance_00006,clem_indomain
DOND-12,DOND-12,1,dair2b__dond__coop_en__instance_00003,dair2b,dond,coop_en,instance_00003,clem_indomain
DOND-12,DOND-12,2,dair2b__dond__coop_en__instance_00017,dair2b,dond,coop_en,instance_00017,clem_indomain
DOND-12,DOND-12,3,llp9b__dond__semi_en__instance_00010,llp9b,dond,semi_en,instance_00010,clem_indomain
DOND-12,DOND-12,4,llp9b__dond__semi_en__instance_00011,llp9b,dond,semi_en,instance_00011,clem_indomain
DOND-12,DOND-12,5,qwen27b__dond__semi_en__instance_00000,qwen27b,dond,semi_en,instance_00000,clem_indomain
FL-01,FL-01,1,cityuol2b__ta_frozen_lake__FrozenLake-v0-hardcore__instance_00002,cityuol2b,ta_frozen_lake,FrozenLake-v0-hardcore,instance_00002,clem_outofdomain
FL-01,FL-01,2,cityuol2b__ta_frozen_lake__FrozenLake-v0-random__instance_00003,cityuol2b,ta_frozen_lake,FrozenLake-v0-random,instance_00003,clem_outofdomain
FL-01,FL-01,3,dair2b__ta_frozen_lake__FrozenLake-v0-random__instance_00002,dair2b,ta_frozen_lake,FrozenLake-v0-random,instance_00002,clem_outofdomain
FL-01,FL-01,4,llp9b__ta_frozen_lake__FrozenLake-v0-hardcore__instance_00008,llp9b,ta_frozen_lake,FrozenLake-v0-hardcore,instance_00008,clem_outofdomain
FL-01,FL-01,5,llp9b__ta_frozen_lake__FrozenLake-v0__instance_00002,llp9b,ta_frozen_lake,FrozenLake-v0,instance_00002,clem_outofdomain
FL-01,FL-01,6,llp9b__ta_frozen_lake__FrozenLake-v0__instance_00003,llp9b,ta_frozen_lake,FrozenLake-v0,instance_00003,clem_outofdomain
FL-01,FL-01,7,qwen27b__ta_frozen_lake__FrozenLake-v0-hardcore__instance_00004,qwen27b,ta_frozen_lake,FrozenLake-v0-hardcore,instance_00004,clem_outofdomain
FL-01,FL-01,8,qwen27b__ta_frozen_lake__FrozenLake-v0__instance_00007,qwen27b,ta_frozen_lake,FrozenLake-v0,instance_00007,clem_outofdomain
FL-02,FL-02,1,cityuol2b__ta_frozen_lake__FrozenLake-v0-random__instance_00004,cityuol2b,ta_frozen_lake,FrozenLake-v0-random,instance_00004,clem_outofdomain
FL-02,FL-02,2,dair2b__ta_frozen_lake__FrozenLake-v0-hardcore__instance_00005,dair2b,ta_frozen_lake,FrozenLake-v0-hardcore,instance_00005,clem_outofdomain
FL-02,FL-02,3,dair2b__ta_frozen_lake__FrozenLake-v0-hardcore__instance_00008,dair2b,ta_frozen_lake,FrozenLake-v0-hardcore,instance_00008,clem_outofdomain
FL-02,FL-02,4,dair2b__ta_frozen_lake__FrozenLake-v0__instance_00002,dair2b,ta_frozen_lake,FrozenLake-v0,instance_00002,clem_outofdomain
FL-02,FL-02,5,llp9b__ta_frozen_lake__FrozenLake-v0-random__instance_00001,llp9b,ta_frozen_lake,FrozenLake-v0-random,instance_00001,clem_outofdomain
FL-02,FL-02,6,llp9b__ta_frozen_lake__FrozenLake-v0-random__instance_00003,llp9b,ta_frozen_lake,FrozenLake-v0-random,instance_00003,clem_outofdomain
FL-02,FL-02,7,llp9b__ta_frozen_lake__FrozenLake-v0__instance_00007,llp9b,ta_frozen_lake,FrozenLake-v0,instance_00007,clem_outofdomain
FL-02,FL-02,8,qwen27b__ta_frozen_lake__FrozenLake-v0-hardcore__instance_00002,qwen27b,ta_frozen_lake,FrozenLake-v0-hardcore,instance_00002,clem_outofdomain
FL-02,FL-02,9,qwen27b__ta_frozen_lake__FrozenLake-v0__instance_00008,qwen27b,ta_frozen_lake,FrozenLake-v0,instance_00008,clem_outofdomain
FL-03,FL-03,1,cityuol2b__ta_frozen_lake__FrozenLake-v0-hardcore__instance_00008,cityuol2b,ta_frozen_lake,FrozenLake-v0-hardcore,instance_00008,clem_outofdomain
FL-03,FL-03,2,cityuol2b__ta_frozen_lake__FrozenLake-v0__instance_00008,cityuol2b,ta_frozen_lake,FrozenLake-v0,instance_00008,clem_outofdomain
FL-03,FL-03,3,dair2b__ta_frozen_lake__FrozenLake-v0-hardcore__instance_00002,dair2b,ta_frozen_lake,FrozenLake-v0-hardcore,instance_00002,clem_outofdomain
FL-03,FL-03,4,dair2b__ta_frozen_lake__FrozenLake-v0__instance_00007,dair2b,ta_frozen_lake,FrozenLake-v0,instance_00007,clem_outofdomain
FL-03,FL-03,5,llp9b__ta_frozen_lake__FrozenLake-v0-random__instance_00004,llp9b,ta_frozen_lake,FrozenLake-v0-random,instance_00004,clem_outofdomain
FL-03,FL-03,6,llp9b__ta_frozen_lake__FrozenLake-v0-random__instance_00008,llp9b,ta_frozen_lake,FrozenLake-v0-random,instance_00008,clem_outofdomain
FL-03,FL-03,7,qwen27b__ta_frozen_lake__FrozenLake-v0-hardcore__instance_00005,qwen27b,ta_frozen_lake,FrozenLake-v0-hardcore,instance_00005,clem_outofdomain
FL-03,FL-03,8,qwen27b__ta_frozen_lake__FrozenLake-v0-random__instance_00003,qwen27b,ta_frozen_lake,FrozenLake-v0-random,instance_00003,clem_outofdomain
FL-03,FL-03,9,qwen27b__ta_frozen_lake__FrozenLake-v0__instance_00002,qwen27b,ta_frozen_lake,FrozenLake-v0,instance_00002,clem_outofdomain
FL-04,FL-04,1,cityuol2b__ta_frozen_lake__FrozenLake-v0-random__instance_00002,cityuol2b,ta_frozen_lake,FrozenLake-v0-random,instance_00002,clem_outofdomain
FL-04,FL-04,2,dair2b__ta_frozen_lake__FrozenLake-v0-random__instance_00001,dair2b,ta_frozen_lake,FrozenLake-v0-random,instance_00001,clem_outofdomain
FL-04,FL-04,3,dair2b__ta_frozen_lake__FrozenLake-v0-random__instance_00003,dair2b,ta_frozen_lake,FrozenLake-v0-random,instance_00003,clem_outofdomain
FL-04,FL-04,4,dair2b__ta_frozen_lake__FrozenLake-v0__instance_00008,dair2b,ta_frozen_lake,FrozenLake-v0,instance_00008,clem_outofdomain
FL-04,FL-04,5,llp9b__ta_frozen_lake__FrozenLake-v0-hardcore__instance_00004,llp9b,ta_frozen_lake,FrozenLake-v0-hardcore,instance_00004,clem_outofdomain
FL-04,FL-04,6,llp9b__ta_frozen_lake__FrozenLake-v0-hardcore__instance_00005,llp9b,ta_frozen_lake,FrozenLake-v0-hardcore,instance_00005,clem_outofdomain
FL-04,FL-04,7,qwen27b__ta_frozen_lake__FrozenLake-v0-hardcore__instance_00008,qwen27b,ta_frozen_lake,FrozenLake-v0-hardcore,instance_00008,clem_outofdomain
FL-04,FL-04,8,qwen27b__ta_frozen_lake__FrozenLake-v0-random__instance_00008,qwen27b,ta_frozen_lake,FrozenLake-v0-random,instance_00008,clem_outofdomain
FL-04,FL-04,9,qwen27b__ta_frozen_lake__FrozenLake-v0__instance_00003,qwen27b,ta_frozen_lake,FrozenLake-v0,instance_00003,clem_outofdomain
FL-05,FL-05,1,cityuol2b__ta_frozen_lake__FrozenLake-v0-hardcore__instance_00004,cityuol2b,ta_frozen_lake,FrozenLake-v0-hardcore,instance_00004,clem_outofdomain
FL-05,FL-05,2,cityuol2b__ta_frozen_lake__FrozenLake-v0-hardcore__instance_00005,cityuol2b,ta_frozen_lake,FrozenLake-v0-hardcore,instance_00005,clem_outofdomain
FL-05,FL-05,3,cityuol2b__ta_frozen_lake__FrozenLake-v0-random__instance_00001,cityuol2b,ta_frozen_lake,FrozenLake-v0-random,instance_00001,clem_outofdomain
FL-05,FL-05,4,cityuol2b__ta_frozen_lake__FrozenLake-v0-random__instance_00008,cityuol2b,ta_frozen_lake,FrozenLake-v0-random,instance_00008,clem_outofdomain
FL-05,FL-05,5,dair2b__ta_frozen_lake__FrozenLake-v0-random__instance_00004,dair2b,ta_frozen_lake,FrozenLake-v0-random,instance_00004,clem_outofdomain
FL-05,FL-05,6,dair2b__ta_frozen_lake__FrozenLake-v0__instance_00003,dair2b,ta_frozen_lake,FrozenLake-v0,instance_00003,clem_outofdomain
FL-05,FL-05,7,llp9b__ta_frozen_lake__FrozenLake-v0-hardcore__instance_00002,llp9b,ta_frozen_lake,FrozenLake-v0-hardcore,instance_00002,clem_outofdomain
FL-05,FL-05,8,llp9b__ta_frozen_lake__FrozenLake-v0__instance_00008,llp9b,ta_frozen_lake,FrozenLake-v0,instance_00008,clem_outofdomain
FL-05,FL-05,9,qwen27b__ta_frozen_lake__FrozenLake-v0-random__instance_00002,qwen27b,ta_frozen_lake,FrozenLake-v0-random,instance_00002,clem_outofdomain
FL-06,FL-06,1,cityuol2b__ta_frozen_lake__FrozenLake-v0__instance_00002,cityuol2b,ta_frozen_lake,FrozenLake-v0,instance_00002,clem_outofdomain
FL-06,FL-06,2,cityuol2b__ta_frozen_lake__FrozenLake-v0__instance_00003,cityuol2b,ta_frozen_lake,FrozenLake-v0,instance_00003,clem_outofdomain
FL-06,FL-06,3,cityuol2b__ta_frozen_lake__FrozenLake-v0__instance_00007,cityuol2b,ta_frozen_lake,FrozenLake-v0,instance_00007,clem_outofdomain
FL-06,FL-06,4,dair2b__ta_frozen_lake__FrozenLake-v0-hardcore__instance_00004,dair2b,ta_frozen_lake,FrozenLake-v0-hardcore,instance_00004,clem_outofdomain
FL-06,FL-06,5,dair2b__ta_frozen_lake__FrozenLake-v0-random__instance_00008,dair2b,ta_frozen_lake,FrozenLake-v0-random,instance_00008,clem_outofdomain
FL-06,FL-06,6,llp9b__ta_frozen_lake__FrozenLake-v0-random__instance_00002,llp9b,ta_frozen_lake,FrozenLake-v0-random,instance_00002,clem_outofdomain
FL-06,FL-06,7,qwen27b__ta_frozen_lake__FrozenLake-v0-random__instance_00001,qwen27b,ta_frozen_lake,FrozenLake-v0-random,instance_00001,clem_outofdomain
FL-06,FL-06,8,qwen27b__ta_frozen_lake__FrozenLake-v0-random__instance_00004,qwen27b,ta_frozen_lake,FrozenLake-v0-random,instance_00004,clem_outofdomain
GW-01,GW-01,1,cityuol2b__guesswhat__Abs_Level_1__instance_00001,cityuol2b,guesswhat,Abs_Level_1,instance_00001,clem_indomain
GW-01,GW-01,2,cityuol2b__guesswhat__Abs_Level_3__instance_00001,cityuol2b,guesswhat,Abs_Level_3,instance_00001,clem_indomain
GW-01,GW-01,3,cityuol2b__guesswhat__Level_1__instance_00007,cityuol2b,guesswhat,Level_1,instance_00007,clem_indomain
GW-01,GW-01,4,dair2b__guesswhat__Abs_Level_2__instance_00007,dair2b,guesswhat,Abs_Level_2,instance_00007,clem_indomain
GW-01,GW-01,5,dair2b__guesswhat__Level_3__instance_00002,dair2b,guesswhat,Level_3,instance_00002,clem_indomain
GW-01,GW-01,6,llp9b__guesswhat__Abs_Level_1__instance_00005,llp9b,guesswhat,Abs_Level_1,instance_00005,clem_indomain
GW-01,GW-01,7,llp9b__guesswhat__Abs_Level_3__instance_00007,llp9b,guesswhat,Abs_Level_3,instance_00007,clem_indomain
GW-01,GW-01,8,llp9b__guesswhat__Level_2__instance_00008,llp9b,guesswhat,Level_2,instance_00008,clem_indomain
GW-01,GW-01,9,qwen27b__guesswhat__Abs_Level_2__instance_00003,qwen27b,guesswhat,Abs_Level_2,instance_00003,clem_indomain
GW-02,GW-02,1,cityuol2b__guesswhat__Abs_Level_1__instance_00000,cityuol2b,guesswhat,Abs_Level_1,instance_00000,clem_indomain
GW-02,GW-02,2,cityuol2b__guesswhat__Level_1__instance_00000,cityuol2b,guesswhat,Level_1,instance_00000,clem_indomain
GW-02,GW-02,3,cityuol2b__guesswhat__Level_2__instance_00008,cityuol2b,guesswhat,Level_2,instance_00008,clem_indomain
GW-02,GW-02,4,dair2b__guesswhat__Abs_Level_1__instance_00001,dair2b,guesswhat,Abs_Level_1,instance_00001,clem_indomain
GW-02,GW-02,5,llp9b__guesswhat__Level_2__instance_00007,llp9b,guesswhat,Level_2,instance_00007,clem_indomain
GW-02,GW-02,6,llp9b__guesswhat__Level_3__instance_00008,llp9b,guesswhat,Level_3,instance_00008,clem_indomain
GW-02,GW-02,7,qwen27b__guesswhat__Abs_Level_2__instance_00007,qwen27b,guesswhat,Abs_Level_2,instance_00007,clem_indomain
GW-02,GW-02,8,qwen27b__guesswhat__Abs_Level_3__instance_00007,qwen27b,guesswhat,Abs_Level_3,instance_00007,clem_indomain
GW-02,GW-02,9,qwen27b__guesswhat__Level_1__instance_00007,qwen27b,guesswhat,Level_1,instance_00007,clem_indomain
GW-03,GW-03,1,cityuol2b__guesswhat__Abs_Level_2__instance_00003,cityuol2b,guesswhat,Abs_Level_2,instance_00003,clem_indomain
GW-03,GW-03,2,cityuol2b__guesswhat__Level_3__instance_00002,cityuol2b,guesswhat,Level_3,instance_00002,clem_indomain
GW-03,GW-03,3,dair2b__guesswhat__Abs_Level_1__instance_00000,dair2b,guesswhat,Abs_Level_1,instance_00000,clem_indomain
GW-03,GW-03,4,dair2b__guesswhat__Abs_Level_1__instance_00005,dair2b,guesswhat,Abs_Level_1,instance_00005,clem_indomain
GW-03,GW-03,5,dair2b__guesswhat__Level_3__instance_00008,dair2b,guesswhat,Level_3,instance_00008,clem_indomain
GW-03,GW-03,6,llp9b__guesswhat__Level_1__instance_00000,llp9b,guesswhat,Level_1,instance_00000,clem_indomain
GW-03,GW-03,7,qwen27b__guesswhat__Abs_Level_3__instance_00001,qwen27b,guesswhat,Abs_Level_3,instance_00001,clem_indomain
GW-03,GW-03,8,qwen27b__guesswhat__Level_2__instance_00007,qwen27b,guesswhat,Level_2,instance_00007,clem_indomain
GW-04,GW-04,1,cityuol2b__guesswhat__Abs_Level_3__instance_00007,cityuol2b,guesswhat,Abs_Level_3,instance_00007,clem_indomain
GW-04,GW-04,2,cityuol2b__guesswhat__Level_3__instance_00008,cityuol2b,guesswhat,Level_3,instance_00008,clem_indomain
GW-04,GW-04,3,dair2b__guesswhat__Abs_Level_3__instance_00001,dair2b,guesswhat,Abs_Level_3,instance_00001,clem_indomain
GW-04,GW-04,4,llp9b__guesswhat__Abs_Level_2__instance_00007,llp9b,guesswhat,Abs_Level_2,instance_00007,clem_indomain
GW-04,GW-04,5,qwen27b__guesswhat__Abs_Level_1__instance_00000,qwen27b,guesswhat,Abs_Level_1,instance_00000,clem_indomain
GW-04,GW-04,6,qwen27b__guesswhat__Abs_Level_1__instance_00005,qwen27b,guesswhat,Abs_Level_1,instance_00005,clem_indomain
GW-04,GW-04,7,qwen27b__guesswhat__Level_1__instance_00000,qwen27b,guesswhat,Level_1,instance_00000,clem_indomain
GW-04,GW-04,8,qwen27b__guesswhat__Level_2__instance_00008,qwen27b,guesswhat,Level_2,instance_00008,clem_indomain
GW-05,GW-05,1,cityuol2b__guesswhat__Level_2__instance_00007,cityuol2b,guesswhat,Level_2,instance_00007,clem_indomain
GW-05,GW-05,2,dair2b__guesswhat__Abs_Level_2__instance_00003,dair2b,guesswhat,Abs_Level_2,instance_00003,clem_indomain
GW-05,GW-05,3,dair2b__guesswhat__Abs_Level_3__instance_00007,dair2b,guesswhat,Abs_Level_3,instance_00007,clem_indomain
GW-05,GW-05,4,dair2b__guesswhat__Level_1__instance_00000,dair2b,guesswhat,Level_1,instance_00000,clem_indomain
GW-05,GW-05,5,llp9b__guesswhat__Abs_Level_1__instance_00000,llp9b,guesswhat,Abs_Level_1,instance_00000,clem_indomain
GW-05,GW-05,6,llp9b__guesswhat__Abs_Level_1__instance_00001,llp9b,guesswhat,Abs_Level_1,instance_00001,clem_indomain
GW-05,GW-05,7,llp9b__guesswhat__Level_1__instance_00007,llp9b,guesswhat,Level_1,instance_00007,clem_indomain
