transcript_id,model_id,model_folder,model_name,domain,game,experiment,instance,source_path
llp9b__codenames__association_difficult__instance_00000,llp9b,LLP: Large Language Problems__qwen3.5-9b__llp-final,LLP: Large Language Problems__qwen3.5-9b__llp-final,clem_indomain,codenames,association_difficult,instance_00000,games_final/clem_indomain/LLP: Large Language Problems__qwen3.5-9b__llp-final/codenames/association_difficult/instance_00000/interactions.json
qwen27b__codenames__association_difficult__instance_00000,qwen27b,qwen3.5-27b,qwen3.5-27b,clem_indomain,codenames,association_difficult,instance_00000,games_final/clem_indomain/qwen3.5-27b/codenames/association_difficult/instance_00000/interactions.json
cityuol2b__codenames__association_easy__instance_00004,cityuol2b,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,clem_indomain,codenames,association_easy,instance_00004,games_final/clem_indomain/CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1/codenames/association_easy/instance_00004/interactions.json
dair2b__codenames__association_easy__instance_00004,dair2b,DAIR__qwen3.5-2b__sft-dpo-v2,DAIR__qwen3.5-2b__sft-dpo-v2,clem_indomain,codenames,association_easy,instance_00004,games_final/clem_indomain/DAIR__qwen3.5-2b__sft-dpo-v2/codenames/association_easy/instance_00004/interactions.json
llp9b__codenames__association_easy__instance_00004,llp9b,LLP: Large Language Problems__qwen3.5-9b__llp-final,LLP: Large Language Problems__qwen3.5-9b__llp-final,clem_indomain,codenames,association_easy,instance_00004,games_final/clem_indomain/LLP: Large Language Problems__qwen3.5-9b__llp-final/codenames/association_easy/instance_00004/interactions.json
qwen27b__codenames__association_easy__instance_00004,qwen27b,qwen3.5-27b,qwen3.5-27b,clem_indomain,codenames,association_easy,instance_00004,games_final/clem_indomain/qwen3.5-27b/codenames/association_easy/instance_00004/interactions.json
cityuol2b__codenames__concrete__instance_00007,cityuol2b,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,clem_indomain,codenames,concrete,instance_00007,games_final/clem_indomain/CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1/codenames/concrete/instance_00007/interactions.json
dair2b__codenames__concrete__instance_00007,dair2b,DAIR__qwen3.5-2b__sft-dpo-v2,DAIR__qwen3.5-2b__sft-dpo-v2,clem_indomain,codenames,concrete,instance_00007,games_final/clem_indomain/DAIR__qwen3.5-2b__sft-dpo-v2/codenames/concrete/instance_00007/interactions.json
llp9b__codenames__concrete__instance_00007,llp9b,LLP: Large Language Problems__qwen3.5-9b__llp-final,LLP: Large Language Problems__qwen3.5-9b__llp-final,clem_indomain,codenames,concrete,instance_00007,games_final/clem_indomain/LLP: Large Language Problems__qwen3.5-9b__llp-final/codenames/concrete/instance_00007/interactions.json
qwen27b__codenames__concrete__instance_00007,qwen27b,qwen3.5-27b,qwen3.5-27b,clem_indomain,codenames,concrete,instance_00007,games_final/clem_indomain/qwen3.5-27b/codenames/concrete/instance_00007/interactions.json
cityuol2b__codenames__frequency_high__instance_00009,cityuol2b,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,clem_indomain,codenames,frequency_high,instance_00009,games_final/clem_indomain/CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1/codenames/frequency_high/instance_00009/interactions.json
dair2b__codenames__frequency_high__instance_00009,dair2b,DAIR__qwen3.5-2b__sft-dpo-v2,DAIR__qwen3.5-2b__sft-dpo-v2,clem_indomain,codenames,frequency_high,instance_00009,games_final/clem_indomain/DAIR__qwen3.5-2b__sft-dpo-v2/codenames/frequency_high/instance_00009/interactions.json
llp9b__codenames__frequency_high__instance_00009,llp9b,LLP: Large Language Problems__qwen3.5-9b__llp-final,LLP: Large Language Problems__qwen3.5-9b__llp-final,clem_indomain,codenames,frequency_high,instance_00009,games_final/clem_indomain/LLP: Large Language Problems__qwen3.5-9b__llp-final/codenames/frequency_high/instance_00009/interactions.json
qwen27b__codenames__frequency_high__instance_00009,qwen27b,qwen3.5-27b,qwen3.5-27b,clem_indomain,codenames,frequency_high,instance_00009,games_final/clem_indomain/qwen3.5-27b/codenames/frequency_high/instance_00009/interactions.json
cityuol2b__codenames__frequency_low__instance_00005,cityuol2b,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,clem_indomain,codenames,frequency_low,instance_00005,games_final/clem_indomain/CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1/codenames/frequency_low/instance_00005/interactions.json
dair2b__codenames__frequency_low__instance_00005,dair2b,DAIR__qwen3.5-2b__sft-dpo-v2,DAIR__qwen3.5-2b__sft-dpo-v2,clem_indomain,codenames,frequency_low,instance_00005,games_final/clem_indomain/DAIR__qwen3.5-2b__sft-dpo-v2/codenames/frequency_low/instance_00005/interactions.json
llp9b__codenames__frequency_low__instance_00005,llp9b,LLP: Large Language Problems__qwen3.5-9b__llp-final,LLP: Large Language Problems__qwen3.5-9b__llp-final,clem_indomain,codenames,frequency_low,instance_00005,games_final/clem_indomain/LLP: Large Language Problems__qwen3.5-9b__llp-final/codenames/frequency_low/instance_00005/interactions.json
qwen27b__codenames__frequency_low__instance_00005,qwen27b,qwen3.5-27b,qwen3.5-27b,clem_indomain,codenames,frequency_low,instance_00005,games_final/clem_indomain/qwen3.5-27b/codenames/frequency_low/instance_00005/interactions.json
cityuol2b__codenames__opponent_difficult__instance_00008,cityuol2b,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,clem_indomain,codenames,opponent_difficult,instance_00008,games_final/clem_indomain/CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1/codenames/opponent_difficult/instance_00008/interactions.json
dair2b__codenames__opponent_difficult__instance_00008,dair2b,DAIR__qwen3.5-2b__sft-dpo-v2,DAIR__qwen3.5-2b__sft-dpo-v2,clem_indomain,codenames,opponent_difficult,instance_00008,games_final/clem_indomain/DAIR__qwen3.5-2b__sft-dpo-v2/codenames/opponent_difficult/instance_00008/interactions.json
llp9b__codenames__opponent_difficult__instance_00008,llp9b,LLP: Large Language Problems__qwen3.5-9b__llp-final,LLP: Large Language Problems__qwen3.5-9b__llp-final,clem_indomain,codenames,opponent_difficult,instance_00008,games_final/clem_indomain/LLP: Large Language Problems__qwen3.5-9b__llp-final/codenames/opponent_difficult/instance_00008/interactions.json
qwen27b__codenames__opponent_difficult__instance_00008,qwen27b,qwen3.5-27b,qwen3.5-27b,clem_indomain,codenames,opponent_difficult,instance_00008,games_final/clem_indomain/qwen3.5-27b/codenames/opponent_difficult/instance_00008/interactions.json
cityuol2b__codenames__opponent_easy__instance_00006,cityuol2b,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,clem_indomain,codenames,opponent_easy,instance_00006,games_final/clem_indomain/CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1/codenames/opponent_easy/instance_00006/interactions.json
dair2b__codenames__opponent_easy__instance_00006,dair2b,DAIR__qwen3.5-2b__sft-dpo-v2,DAIR__qwen3.5-2b__sft-dpo-v2,clem_indomain,codenames,opponent_easy,instance_00006,games_final/clem_indomain/DAIR__qwen3.5-2b__sft-dpo-v2/codenames/opponent_easy/instance_00006/interactions.json
llp9b__codenames__opponent_easy__instance_00006,llp9b,LLP: Large Language Problems__qwen3.5-9b__llp-final,LLP: Large Language Problems__qwen3.5-9b__llp-final,clem_indomain,codenames,opponent_easy,instance_00006,games_final/clem_indomain/LLP: Large Language Problems__qwen3.5-9b__llp-final/codenames/opponent_easy/instance_00006/interactions.json
qwen27b__codenames__opponent_easy__instance_00006,qwen27b,qwen3.5-27b,qwen3.5-27b,clem_indomain,codenames,opponent_easy,instance_00006,games_final/clem_indomain/qwen3.5-27b/codenames/opponent_easy/instance_00006/interactions.json
cityuol2b__codenames__opponent_none__instance_00002,cityuol2b,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,clem_indomain,codenames,opponent_none,instance_00002,games_final/clem_indomain/CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1/codenames/opponent_none/instance_00002/interactions.json
dair2b__codenames__opponent_none__instance_00002,dair2b,DAIR__qwen3.5-2b__sft-dpo-v2,DAIR__qwen3.5-2b__sft-dpo-v2,clem_indomain,codenames,opponent_none,instance_00002,games_final/clem_indomain/DAIR__qwen3.5-2b__sft-dpo-v2/codenames/opponent_none/instance_00002/interactions.json
llp9b__codenames__opponent_none__instance_00002,llp9b,LLP: Large Language Problems__qwen3.5-9b__llp-final,LLP: Large Language Problems__qwen3.5-9b__llp-final,clem_indomain,codenames,opponent_none,instance_00002,games_final/clem_indomain/LLP: Large Language Problems__qwen3.5-9b__llp-final/codenames/opponent_none/instance_00002/interactions.json
qwen27b__codenames__opponent_none__instance_00002,qwen27b,qwen3.5-27b,qwen3.5-27b,clem_indomain,codenames,opponent_none,instance_00002,games_final/clem_indomain/qwen3.5-27b/codenames/opponent_none/instance_00002/interactions.json
cityuol2b__codenames__risk_high__instance_00005,cityuol2b,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,clem_indomain,codenames,risk_high,instance_00005,games_final/clem_indomain/CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1/codenames/risk_high/instance_00005/interactions.json
dair2b__codenames__risk_high__instance_00005,dair2b,DAIR__qwen3.5-2b__sft-dpo-v2,DAIR__qwen3.5-2b__sft-dpo-v2,clem_indomain,codenames,risk_high,instance_00005,games_final/clem_indomain/DAIR__qwen3.5-2b__sft-dpo-v2/codenames/risk_high/instance_00005/interactions.json
llp9b__codenames__risk_high__instance_00005,llp9b,LLP: Large Language Problems__qwen3.5-9b__llp-final,LLP: Large Language Problems__qwen3.5-9b__llp-final,clem_indomain,codenames,risk_high,instance_00005,games_final/clem_indomain/LLP: Large Language Problems__qwen3.5-9b__llp-final/codenames/risk_high/instance_00005/interactions.json
qwen27b__codenames__risk_high__instance_00005,qwen27b,qwen3.5-27b,qwen3.5-27b,clem_indomain,codenames,risk_high,instance_00005,games_final/clem_indomain/qwen3.5-27b/codenames/risk_high/instance_00005/interactions.json
cityuol2b__codenames__risk_low__instance_00001,cityuol2b,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,clem_indomain,codenames,risk_low,instance_00001,games_final/clem_indomain/CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1/codenames/risk_low/instance_00001/interactions.json
dair2b__codenames__risk_low__instance_00001,dair2b,DAIR__qwen3.5-2b__sft-dpo-v2,DAIR__qwen3.5-2b__sft-dpo-v2,clem_indomain,codenames,risk_low,instance_00001,games_final/clem_indomain/DAIR__qwen3.5-2b__sft-dpo-v2/codenames/risk_low/instance_00001/interactions.json
llp9b__codenames__risk_low__instance_00001,llp9b,LLP: Large Language Problems__qwen3.5-9b__llp-final,LLP: Large Language Problems__qwen3.5-9b__llp-final,clem_indomain,codenames,risk_low,instance_00001,games_final/clem_indomain/LLP: Large Language Problems__qwen3.5-9b__llp-final/codenames/risk_low/instance_00001/interactions.json
qwen27b__codenames__risk_low__instance_00001,qwen27b,qwen3.5-27b,qwen3.5-27b,clem_indomain,codenames,risk_low,instance_00001,games_final/clem_indomain/qwen3.5-27b/codenames/risk_low/instance_00001/interactions.json
cityuol2b__codenames__unambiguous__instance_00004,cityuol2b,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,clem_indomain,codenames,unambiguous,instance_00004,games_final/clem_indomain/CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1/codenames/unambiguous/instance_00004/interactions.json
dair2b__codenames__unambiguous__instance_00004,dair2b,DAIR__qwen3.5-2b__sft-dpo-v2,DAIR__qwen3.5-2b__sft-dpo-v2,clem_indomain,codenames,unambiguous,instance_00004,games_final/clem_indomain/DAIR__qwen3.5-2b__sft-dpo-v2/codenames/unambiguous/instance_00004/interactions.json
llp9b__codenames__unambiguous__instance_00004,llp9b,LLP: Large Language Problems__qwen3.5-9b__llp-final,LLP: Large Language Problems__qwen3.5-9b__llp-final,clem_indomain,codenames,unambiguous,instance_00004,games_final/clem_indomain/LLP: Large Language Problems__qwen3.5-9b__llp-final/codenames/unambiguous/instance_00004/interactions.json
qwen27b__codenames__unambiguous__instance_00004,qwen27b,qwen3.5-27b,qwen3.5-27b,clem_indomain,codenames,unambiguous,instance_00004,games_final/clem_indomain/qwen3.5-27b/codenames/unambiguous/instance_00004/interactions.json
cityuol2b__dond__coop_en__instance_00003,cityuol2b,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,clem_indomain,dond,coop_en,instance_00003,games_final/clem_indomain/CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1/dond/coop_en/instance_00003/interactions.json
dair2b__dond__coop_en__instance_00003,dair2b,DAIR__qwen3.5-2b__sft-dpo-v2,DAIR__qwen3.5-2b__sft-dpo-v2,clem_indomain,dond,coop_en,instance_00003,games_final/clem_indomain/DAIR__qwen3.5-2b__sft-dpo-v2/dond/coop_en/instance_00003/interactions.json
llp9b__dond__coop_en__instance_00003,llp9b,LLP: Large Language Problems__qwen3.5-9b__llp-final,LLP: Large Language Problems__qwen3.5-9b__llp-final,clem_indomain,dond,coop_en,instance_00003,games_final/clem_indomain/LLP: Large Language Problems__qwen3.5-9b__llp-final/dond/coop_en/instance_00003/interactions.json
qwen27b__dond__coop_en__instance_00003,qwen27b,qwen3.5-27b,qwen3.5-27b,clem_indomain,dond,coop_en,instance_00003,games_final/clem_indomain/qwen3.5-27b/dond/coop_en/instance_00003/interactions.json
cityuol2b__dond__coop_en__instance_00004,cityuol2b,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,clem_indomain,dond,coop_en,instance_00004,games_final/clem_indomain/CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1/dond/coop_en/instance_00004/interactions.json
dair2b__dond__coop_en__instance_00004,dair2b,DAIR__qwen3.5-2b__sft-dpo-v2,DAIR__qwen3.5-2b__sft-dpo-v2,clem_indomain,dond,coop_en,instance_00004,games_final/clem_indomain/DAIR__qwen3.5-2b__sft-dpo-v2/dond/coop_en/instance_00004/interactions.json
llp9b__dond__coop_en__instance_00004,llp9b,LLP: Large Language Problems__qwen3.5-9b__llp-final,LLP: Large Language Problems__qwen3.5-9b__llp-final,clem_indomain,dond,coop_en,instance_00004,games_final/clem_indomain/LLP: Large Language Problems__qwen3.5-9b__llp-final/dond/coop_en/instance_00004/interactions.json
qwen27b__dond__coop_en__instance_00004,qwen27b,qwen3.5-27b,qwen3.5-27b,clem_indomain,dond,coop_en,instance_00004,games_final/clem_indomain/qwen3.5-27b/dond/coop_en/instance_00004/interactions.json
cityuol2b__dond__coop_en__instance_00006,cityuol2b,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,clem_indomain,dond,coop_en,instance_00006,games_final/clem_indomain/CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1/dond/coop_en/instance_00006/interactions.json
dair2b__dond__coop_en__instance_00006,dair2b,DAIR__qwen3.5-2b__sft-dpo-v2,DAIR__qwen3.5-2b__sft-dpo-v2,clem_indomain,dond,coop_en,instance_00006,games_final/clem_indomain/DAIR__qwen3.5-2b__sft-dpo-v2/dond/coop_en/instance_00006/interactions.json
llp9b__dond__coop_en__instance_00006,llp9b,LLP: Large Language Problems__qwen3.5-9b__llp-final,LLP: Large Language Problems__qwen3.5-9b__llp-final,clem_indomain,dond,coop_en,instance_00006,games_final/clem_indomain/LLP: Large Language Problems__qwen3.5-9b__llp-final/dond/coop_en/instance_00006/interactions.json
qwen27b__dond__coop_en__instance_00006,qwen27b,qwen3.5-27b,qwen3.5-27b,clem_indomain,dond,coop_en,instance_00006,games_final/clem_indomain/qwen3.5-27b/dond/coop_en/instance_00006/interactions.json
cityuol2b__dond__coop_en__instance_00007,cityuol2b,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,clem_indomain,dond,coop_en,instance_00007,games_final/clem_indomain/CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1/dond/coop_en/instance_00007/interactions.json
dair2b__dond__coop_en__instance_00007,dair2b,DAIR__qwen3.5-2b__sft-dpo-v2,DAIR__qwen3.5-2b__sft-dpo-v2,clem_indomain,dond,coop_en,instance_00007,games_final/clem_indomain/DAIR__qwen3.5-2b__sft-dpo-v2/dond/coop_en/instance_00007/interactions.json
llp9b__dond__coop_en__instance_00007,llp9b,LLP: Large Language Problems__qwen3.5-9b__llp-final,LLP: Large Language Problems__qwen3.5-9b__llp-final,clem_indomain,dond,coop_en,instance_00007,games_final/clem_indomain/LLP: Large Language Problems__qwen3.5-9b__llp-final/dond/coop_en/instance_00007/interactions.json
qwen27b__dond__coop_en__instance_00007,qwen27b,qwen3.5-27b,qwen3.5-27b,clem_indomain,dond,coop_en,instance_00007,games_final/clem_indomain/qwen3.5-27b/dond/coop_en/instance_00007/interactions.json
cityuol2b__dond__coop_en__instance_00008,cityuol2b,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,clem_indomain,dond,coop_en,instance_00008,games_final/clem_indomain/CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1/dond/coop_en/instance_00008/interactions.json
dair2b__dond__coop_en__instance_00008,dair2b,DAIR__qwen3.5-2b__sft-dpo-v2,DAIR__qwen3.5-2b__sft-dpo-v2,clem_indomain,dond,coop_en,instance_00008,games_final/clem_indomain/DAIR__qwen3.5-2b__sft-dpo-v2/dond/coop_en/instance_00008/interactions.json
llp9b__dond__coop_en__instance_00008,llp9b,LLP: Large Language Problems__qwen3.5-9b__llp-final,LLP: Large Language Problems__qwen3.5-9b__llp-final,clem_indomain,dond,coop_en,instance_00008,games_final/clem_indomain/LLP: Large Language Problems__qwen3.5-9b__llp-final/dond/coop_en/instance_00008/interactions.json
qwen27b__dond__coop_en__instance_00008,qwen27b,qwen3.5-27b,qwen3.5-27b,clem_indomain,dond,coop_en,instance_00008,games_final/clem_indomain/qwen3.5-27b/dond/coop_en/instance_00008/interactions.json
cityuol2b__dond__coop_en__instance_00011,cityuol2b,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,clem_indomain,dond,coop_en,instance_00011,games_final/clem_indomain/CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1/dond/coop_en/instance_00011/interactions.json
dair2b__dond__coop_en__instance_00011,dair2b,DAIR__qwen3.5-2b__sft-dpo-v2,DAIR__qwen3.5-2b__sft-dpo-v2,clem_indomain,dond,coop_en,instance_00011,games_final/clem_indomain/DAIR__qwen3.5-2b__sft-dpo-v2/dond/coop_en/instance_00011/interactions.json
llp9b__dond__coop_en__instance_00011,llp9b,LLP: Large Language Problems__qwen3.5-9b__llp-final,LLP: Large Language Problems__qwen3.5-9b__llp-final,clem_indomain,dond,coop_en,instance_00011,games_final/clem_indomain/LLP: Large Language Problems__qwen3.5-9b__llp-final/dond/coop_en/instance_00011/interactions.json
qwen27b__dond__coop_en__instance_00011,qwen27b,qwen3.5-27b,qwen3.5-27b,clem_indomain,dond,coop_en,instance_00011,games_final/clem_indomain/qwen3.5-27b/dond/coop_en/instance_00011/interactions.json
cityuol2b__dond__coop_en__instance_00017,cityuol2b,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,clem_indomain,dond,coop_en,instance_00017,games_final/clem_indomain/CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1/dond/coop_en/instance_00017/interactions.json
dair2b__dond__coop_en__instance_00017,dair2b,DAIR__qwen3.5-2b__sft-dpo-v2,DAIR__qwen3.5-2b__sft-dpo-v2,clem_indomain,dond,coop_en,instance_00017,games_final/clem_indomain/DAIR__qwen3.5-2b__sft-dpo-v2/dond/coop_en/instance_00017/interactions.json
llp9b__dond__coop_en__instance_00017,llp9b,LLP: Large Language Problems__qwen3.5-9b__llp-final,LLP: Large Language Problems__qwen3.5-9b__llp-final,clem_indomain,dond,coop_en,instance_00017,games_final/clem_indomain/LLP: Large Language Problems__qwen3.5-9b__llp-final/dond/coop_en/instance_00017/interactions.json
qwen27b__dond__coop_en__instance_00017,qwen27b,qwen3.5-27b,qwen3.5-27b,clem_indomain,dond,coop_en,instance_00017,games_final/clem_indomain/qwen3.5-27b/dond/coop_en/instance_00017/interactions.json
cityuol2b__dond__semi_en__instance_00000,cityuol2b,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,clem_indomain,dond,semi_en,instance_00000,games_final/clem_indomain/CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1/dond/semi_en/instance_00000/interactions.json
dair2b__dond__semi_en__instance_00000,dair2b,DAIR__qwen3.5-2b__sft-dpo-v2,DAIR__qwen3.5-2b__sft-dpo-v2,clem_indomain,dond,semi_en,instance_00000,games_final/clem_indomain/DAIR__qwen3.5-2b__sft-dpo-v2/dond/semi_en/instance_00000/interactions.json
llp9b__dond__semi_en__instance_00000,llp9b,LLP: Large Language Problems__qwen3.5-9b__llp-final,LLP: Large Language Problems__qwen3.5-9b__llp-final,clem_indomain,dond,semi_en,instance_00000,games_final/clem_indomain/LLP: Large Language Problems__qwen3.5-9b__llp-final/dond/semi_en/instance_00000/interactions.json
qwen27b__dond__semi_en__instance_00000,qwen27b,qwen3.5-27b,qwen3.5-27b,clem_indomain,dond,semi_en,instance_00000,games_final/clem_indomain/qwen3.5-27b/dond/semi_en/instance_00000/interactions.json
cityuol2b__dond__semi_en__instance_00002,cityuol2b,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,clem_indomain,dond,semi_en,instance_00002,games_final/clem_indomain/CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1/dond/semi_en/instance_00002/interactions.json
dair2b__dond__semi_en__instance_00002,dair2b,DAIR__qwen3.5-2b__sft-dpo-v2,DAIR__qwen3.5-2b__sft-dpo-v2,clem_indomain,dond,semi_en,instance_00002,games_final/clem_indomain/DAIR__qwen3.5-2b__sft-dpo-v2/dond/semi_en/instance_00002/interactions.json
llp9b__dond__semi_en__instance_00002,llp9b,LLP: Large Language Problems__qwen3.5-9b__llp-final,LLP: Large Language Problems__qwen3.5-9b__llp-final,clem_indomain,dond,semi_en,instance_00002,games_final/clem_indomain/LLP: Large Language Problems__qwen3.5-9b__llp-final/dond/semi_en/instance_00002/interactions.json
qwen27b__dond__semi_en__instance_00002,qwen27b,qwen3.5-27b,qwen3.5-27b,clem_indomain,dond,semi_en,instance_00002,games_final/clem_indomain/qwen3.5-27b/dond/semi_en/instance_00002/interactions.json
cityuol2b__dond__semi_en__instance_00008,cityuol2b,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1,clem_indomain,dond,semi_en,instance_00008,games_final/clem_indomain/CityUoL__qwen3.5-2b__Qwen-GuidePlay-2B-v1/dond/semi_en/instance_00008/interactions.json
dair2b__dond__semi_en__instance_00008,dair2b,DAIR__qwen3.5-2b__sft-dpo-v2,DAIR__qwen3.5-2b__sft-dpo-v2,clem_indomain,dond,semi_en,instance_00008,games_final/clem_indomain/DAIR__qwen3.5-2b__sft-dpo-v2/dond/semi_en/instance_00008/interactions.json
llp9b__dond__semi_en__instance_00008,llp9b,LLP: Large Language Problems__qwen3.5-9b__llp-final,LLP: Large Language Problems__qwen3.5-9b__llp-final,clem_indomain,dond,semi_en,instance_00008,games_final/clem_indomain/LLP: Large Language Problems__qwen3.5-9b__llp-final/dond/semi_en/instance_00008/interactions.json
